"Total Count: ",16540
"Matched Count: ",15292
"Not Matched Count: ",1248

,,,,,,Total,136886262.31,138452984.35,.00,-1566722.04
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
01-04-2024,01-04-2024,6159,66159,"PE BLUE","WALLET PHONEPAY",Matched,15841.00,15841.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6160,66160,"PE RED","WALLET PHONEPAY",Matched,7592.14,7592.14,0.00,0.00,0.00,
01-04-2024,01-04-2024,6170,66170,"PE RED","WALLET PHONEPAY",Matched,4197.00,4197.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6190,66190,"PE RED","WALLET PHONEPAY",Matched,1399.06,1399.06,0.00,0.00,0.00,
01-04-2024,01-04-2024,6208,66208,"PE RED","WALLET PHONEPAY",Matched,6225.00,6225.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6214,66214,"PE RED","WALLET PHONEPAY","Not Matched",12989.16,14988.23,0.00,-1999.07,-1999.07,
01-04-2024,01-04-2024,6222,66222,"PE BLUE","WALLET PHONEPAY",Matched,2799.00,2799.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6223,66223,"PE RED","WALLET PHONEPAY",Matched,1898.50,1898.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,6225,66225,"PE RED","WALLET PHONEPAY",Matched,7492.07,7492.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,6229,66229,"PE RED","WALLET PHONEPAY",Matched,4196.00,4196.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6243,66243,"PE RED","WALLET PHONEPAY",Matched,5845.14,5845.14,0.00,0.00,0.00,
01-04-2024,01-04-2024,6257,66257,"PE RED","WALLET PHONEPAY",Matched,2158.00,2158.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6269,66269,"PE RED","WALLET PHONEPAY","Not Matched",0.00,987.56,0.00,-987.56,-987.56,
01-04-2024,01-04-2024,6282,66282,"PE RED","WALLET PHONEPAY",Matched,4497.00,4497.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6284,66284,"PE RED","WALLET PHONEPAY",Matched,7392.00,7392.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6286,66286,"PE RED","WALLET PHONEPAY",Matched,28.00,28.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6334,66334,"PE RED","WALLET PHONEPAY",Matched,999.04,999.04,0.00,0.00,0.00,
01-04-2024,01-04-2024,6350,66350,"PE BLUE","WALLET PHONEPAY",Matched,2695.00,2695.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6357,66357,"PE BLUE","WALLET PHONEPAY",Matched,6739.00,6739.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6364,66364,"PE RED","WALLET PHONEPAY",Matched,5396.00,5396.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6366,66366,"PE RED","WALLET PHONEPAY",Matched,2098.00,2098.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6369,66369,"PE RED","WALLET PHONEPAY",Matched,1547.00,1547.00,0.00,0.00,0.00,
