"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Store Name","Deposit Amount"
2783778,,2024-10-03,,,99100011,"WALLET PHONEPAY",,16500.00
2783779,,2024-10-03,,,99100011,"WALLET PHONEPAY",,35750.00
2783780,,2024-10-03,,,99100011,"WALLET PHONEPAY",,15500.00
2783996,,2024-10-02,,,99100011,"WALLET PHONEPAY",,1050.00
2783997,,2024-10-02,,,99100012,"WALLET PHONEPAY",,13995.00
2783905,,2024-10-02,,,99100011,"WALLET PHONEPAY",,6000.00
2783906,,2024-10-02,,,99100011,"WALLET PHONEPAY",,6715.00
2783907,,2024-10-01,,,99100011,"WALLET PHONEPAY",,8500.00
2783904,,2024-10-01,,,99100011,"WALLET PHONEPAY",,8500.00
2783998,,2024-10-01,,,99043014,"WALLET PHONEPAY",,15250.00
2783995,,2024-10-01,,,99100011,"WALLET PHONEPAY",,183.57
2783835,,2024-10-01,,,L0595701,"WALLET PHONEPAY",,1.00
