"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
18-05-2024,17-05-2024,9702,59702,"WALLET PHONEPAY",Matched,YESPH41391798129,24591.00,24591.00,.00,0.00,"Stores: 9421,9701,9702"
17-05-2024,16-05-2024,9701,59701,"WALLET PHONEPAY",Matched,YESPH41381823327,23238.75,23238.75,.00,0.00,"Stores: 9421,9701"
17-05-2024,16-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13824289662,21225.70,21225.70,.00,0.00,"Stores: 2556,6313,6386"
17-05-2024,16-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13824086236,99.00,99.00,.00,0.00,
17-05-2024,16-05-2024,3430,43430,"WALLET PHONEPAY",Matched,YESPH41380865042,69714.10,69714.10,.00,0.00,"Stores: 1001,1039,1043,1105,1266,1817,2194,2446,2447,2459,2490,3430"
17-05-2024,16-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13822100094,699.00,699.00,.00,0.00,
17-05-2024,16-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41381823200,689323.16,697216.17,.00,7893.01,"Stores: 1404,1510,2577,2591,2614,2662,2733,2772,2891,3616,3618,3662,3673,3678,3686,3696,3697,3698,3809,3812,3816,3817,3821,3830,3831,3843,3854,3858,3876,3889,3895,3900,3902,3904,3905,3910,3917,3922,3924,3931,3935,3938,3961,3983,3985,3986,3987,3990,3992,5476,5585,5610,5611,5682,5683,5760,5786,5901,5982,6036,6037,6044,6054,6056,6071,6078,6091,6094,6096,6101,6106,6110,6111,6121,6130,6134,6157,6160,6170,6188,6189,6214,6227,6229,6243,6265,6283,6284,6286,6334,6346,6348,6352,6364,6366,6371,6373,6376,6388,6392,6400,6423,6465,6543,6553,6555,6563,6575,6594,6627,6628,6643,6662,6689,6716,6726,6731,6743,6747,6842,6927,6977,6987,7004,7055,7073,7212,7265,7266,7517,7522,7529,7542,7563,7574,7711,7715,7760,7763,7771,7829,7852,7859,7875,9454,9771,9772,9800,9823,9872"
17-05-2024,16-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41380193704,573515.02,573515.04,.00,0.02,"Stores: 1228,2977,2995,3731,4521,4533,4535,4538,4539,4573,4576,4585,4592,4812,4823,4842,4869,4871,4872,4876,4884,4887,4889,4892,4893,4969,5528,5529,5536,5539,5638,5739,5780,5890,6443,6459,6512,6629,6634,6664,6691,6703,6721,6734,6736,6758,6823,6829,6856,6910,6914,6921,6945,6962,6975,6998,7066,7524,7582,7617,7618,7622,7643,7668,7683,7822,7853,7855,7858,7917,9426,9460,9648,9654,9735,9745,9805,9882,9897,9929,9951"
17-05-2024,16-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41380091912,219128.71,219128.74,.00,0.03,"Stores: 1118,1175,1191,1233,1574,1577,1784,5500,5605,5777,5824,6929,7010,7558,7561,7697,7777,7894,7989,8110,8148,8190,8248,8286,8289,8291,8292,8322,9596,9615,9746,9817,9989"
16-05-2024,15-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41370098719,128630.32,128630.33,.00,0.01,"Stores: 1175,1221,1784,5722,5777,5801,5824,6929,7010,7070,7697,7756,7777,7909,7989,8110,8148,8150,8172,8198,8286,8291,8292,8293,9087,9596,9615,9650,9746,9817,9937,9989"
