"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
23-04-2024,22-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41140231158,649209.61,649209.65,.00,0.04,"Stores: 1149,1227,2977,3738,4533,4535,4538,4539,4573,4576,4812,4823,4831,4850,4856,4864,4865,4870,4871,4876,4884,4887,4889,4890,4988,5486,5528,5529,5530,5660,5739,5779,5797,5870,6596,6629,6633,6634,6664,6701,6703,6721,6734,6758,6762,6823,6829,6832,6856,6868,6910,6914,6921,6962,6975,6998,7082,7085,7524,7562,7582,7617,7622,7628,7643,7668,7685,7728,7822,7855,7858,7917,7936,9461,9648,9649,9735,9805,9882,9883,9897,9951"
23-04-2024,22-04-2024,9996,29996,"WALLET PHONEPAY",Matched,YESPH41140109270,211167.22,211167.21,.00,-0.01,"Stores: 1233,1770,1784,5605,5765,5777,5989,6929,6966,7010,7070,7538,7686,7756,7873,7894,7989,8110,8147,8165,8190,8215,8272,8286,8289,8322,8352,9596,9605,9615,9763,9782,9989,9996"
22-04-2024,21-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11389866687,1039.20,1039.20,.00,0.00,
22-04-2024,21-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM11392580615,147192.75,147172.89,.00,-19.86,"Stores: 2556,6386,6393"
22-04-2024,21-04-2024,2763,62763,"WALLET PAYTM",Matched,AXNPM11391697383,5475.60,5475.60,.00,0.00,
21-04-2024,20-04-2024,2763,62763,"WALLET PAYTM",Matched,AXNPM11281066490,1399.00,1399.00,.00,0.00,
21-04-2024,20-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM11284234762,75394.95,75381.22,.00,-13.73,"Stores: 2556,6386,6393"
21-04-2024,20-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11283967332,7692.00,7692.00,.00,0.00,
21-04-2024,20-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM11280967817,3749.60,3749.60,.00,0.00,
21-04-2024,20-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41120753491,136765.57,136765.57,.00,0.00,"Stores: 1001,1105,1176,1266,1817,2446,2490,3430,3436,9403,9585"
21-04-2024,20-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41120499695,1142088.04,1142088.04,.00,0.00,"Stores: 1227,1256,2977,2995,3731,4521,4533,4535,4539,4576,4585,4587,4592,4800,4811,4812,4823,4831,4842,4843,4846,4856,4864,4865,4868,4870,4871,4872,4876,4879,4884,4887,4889,4890,4892,4969,4988,4998,5528,5529,5530,5531,5536,5538,5539,5660,5739,5779,5780,5795,5870,6512,6596,6629,6664,6701,6703,6708,6721,6734,6736,6758,6762,6790,6823,6829,6832,6856,6868,6910,6914,6921,6962,6975,6976,7060,7085,7524,7566,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7917,7936,9426,9461,9648,9654,9735,9745,9882,9883,9897,9951"
20-04-2024,19-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41110837052,157484.55,157484.55,.00,0.00,"Stores: 1001,1039,1043,1176,1266,1817,2194,2446,2447,3430,3436,9403,9585"
20-04-2024,19-04-2024,8446,78446,"WALLET PHONEPAY",Matched,411112678770,69100.00,69100.00,.00,0.00,
20-04-2024,19-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41111786777,1374905.09,1374905.06,.00,-0.03,"Stores: 1364,1404,2562,2574,2577,2591,2598,2614,2725,2733,2805,2808,2891,3611,3616,3618,3655,3662,3664,3669,3673,3678,3686,3689,3690,3691,3697,3698,3699,3801,3809,3810,3812,3821,3830,3831,3834,3838,3843,3845,3852,3871,3876,3885,3888,3889,3891,3895,3900,3901,3902,3904,3909,3910,3918,3924,3927,3931,3935,3938,3950,3951,3961,3962,3963,3980,3982,3983,3985,3986,3990,3992,5476,5535,5566,5610,5611,5682,5683,5741,5786,5822,5843,5894,5919,6021,6036,6037,6044,6053,6054,6056,6064,6071,6074,6076,6078,6091,6092,6101,6110,6112,6119,6121,6122,6130,6134,6140,6143,6159,6160,6170,6187,6188,6189,6190,6200,6208,6214,6223,6225,6227,6229,6241,6243,6257,6265,6269,6283,6286,6289,6313,6344,6346,6357,6359,6366,6369,6371,6373,6376,6384,6388,6392,6395,6400,6429,6542,6555,6556,6570,6571,6575,6594,6624,6628,6632,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6816,6833,6842,6900,6911,6987,7004,7019,7041,7054,7055,7212,7265,7282,7522,7542,7563,7574,7607,7614,7711,7714,7715,7760,7763,7771,7829,7852,7859,7872,7875,7880,9448,9454,9455,9771,9772,9800,9823,9872"
20-04-2024,19-04-2024,9710,59710,"WALLET PHONEPAY",Matched,YESPH41111786871,32440.51,32440.51,.00,0.00,"Stores: 9421,9701,9710"
20-04-2024,19-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM11174601041,36001.80,36001.80,.00,0.00,"Stores: 6386,6393"
20-04-2024,19-04-2024,2763,62763,"WALLET PAYTM",Matched,AXNPM11171466176,899.00,899.00,.00,0.00,
19-04-2024,18-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM11065858459,6395.00,6395.00,.00,0.00,
19-04-2024,18-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM11064892368,4298.00,4298.00,.00,0.00,
19-04-2024,18-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM11064465204,89891.35,89867.25,.00,-24.10,"Stores: 2556,6386"
19-04-2024,18-04-2024,9704,59704,"WALLET PHONEPAY",Matched,YESPH41101827938,8997.00,8997.00,.00,0.00,"Stores: 9421,9701,9704"
19-04-2024,18-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41101827901,1590225.76,1590225.79,.00,0.03,"Stores: 1404,1493,1510,1515,2318,2577,2591,2598,2662,2772,2805,2827,2898,3616,3618,3654,3662,3664,3669,3673,3678,3689,3690,3691,3697,3698,3699,3809,3810,3811,3812,3821,3825,3830,3831,3834,3838,3843,3845,3852,3854,3858,3871,3876,3884,3885,3887,3888,3889,3891,3895,3900,3901,3902,3904,3905,3910,3918,3922,3924,3927,3931,3935,3938,3951,3952,3962,3963,3978,3980,3982,3983,3985,3986,3990,3992,3994,3998,5464,5476,5535,5585,5611,5682,5683,5759,5786,5843,5894,5919,6021,6036,6037,6043,6044,6046,6053,6054,6056,6071,6076,6091,6092,6094,6096,6101,6110,6119,6121,6122,6130,6134,6139,6140,6143,6159,6160,6170,6173,6189,6190,6200,6208,6214,6223,6225,6227,6229,6243,6257,6269,6282,6284,6285,6286,6287,6289,6346,6348,6357,6364,6366,6371,6376,6384,6392,6395,6400,6415,6421,6423,6429,6465,6467,6511,6555,6556,6563,6570,6571,6575,6594,6624,6628,6632,6643,6656,6662,6689,6716,6722,6726,6731,6741,6742,6743,6747,6816,6833,6842,6900,6927,6936,6987,7019,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7529,7563,7574,7614,7711,7714,7715,7771,7802,7829,7859,7872,7875,7880,9454,9771,9772,9792,9795,9800,9872"
19-04-2024,18-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41100845079,144046.35,144046.35,.00,0.00,"Stores: 1001,1039,1043,1176,1266,1817,2446,2447,3436,9403,9585"
19-04-2024,18-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41100242877,819823.49,819823.50,.00,0.01,"Stores: 1149,1228,1241,1953,2977,4521,4539,4569,4576,4585,4806,4811,4812,4823,4831,4842,4862,4870,4872,4876,4884,4887,4889,4890,4892,4893,4988,5528,5529,5530,5531,5536,5638,5660,5714,5739,5797,6512,6596,6629,6634,6664,6701,6703,6721,6735,6736,6758,6759,6762,6823,6829,6856,6868,6910,6914,6921,6945,6962,6975,7060,7213,7524,7566,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7878,7917,9426,9460,9461,9648,9649,9689,9735,9805,9882,9883,9897,9951"
18-04-2024,17-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41090238108,978863.96,978863.94,.00,-0.02,"Stores: 1227,1228,2977,3731,4521,4533,4538,4539,4573,4576,4585,4800,4812,4823,4831,4842,4856,4861,4865,4867,4868,4870,4871,4872,4876,4884,4887,4889,4892,4893,4896,4988,5528,5529,5530,5531,5536,5538,5638,5660,5739,5778,5780,5890,6443,6512,6596,6629,6633,6634,6664,6701,6703,6721,6736,6758,6759,6762,6790,6823,6829,6832,6856,6910,6914,6921,6962,6975,7006,7060,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7705,7772,7822,7853,7855,7917,7936,9426,9460,9461,9648,9649,9654,9689,9735,9805,9882,9883,9951"
18-04-2024,17-04-2024,9421,59421,"WALLET PHONEPAY","Not Matched",YESPH41091824129,22788.00,24387.00,.00,1599.00,
18-04-2024,17-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41090818150,234802.20,234802.20,.00,0.00,"Stores: 1001,1022,1039,1105,1113,1176,1266,1270,1615,1817,2194,2446,2447,2459,3436,9585"
18-04-2024,17-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10953696285,1588.00,1588.00,.00,0.00,
18-04-2024,17-04-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41091824026,1654349.82,1693400.35,.00,39050.53,"Stores: 1404,1515,2562,2574,2577,2591,2598,2614,2633,2725,2733,2763,2772,2805,2827,2898,3611,3616,3618,3654,3662,3664,3669,3673,3678,3686,3689,3690,3691,3697,3698,3810,3811,3812,3821,3825,3830,3831,3834,3835,3838,3843,3845,3852,3858,3866,3876,3885,3887,3888,3891,3895,3900,3902,3904,3905,3910,3912,3917,3919,3924,3927,3931,3935,3938,3950,3961,3962,3963,3967,3978,3982,3983,3986,3990,3992,3994,5476,5535,5579,5585,5610,5611,5619,5682,5683,5759,5786,5843,5894,5919,6036,6037,6043,6044,6046,6053,6054,6056,6064,6071,6074,6078,6091,6092,6096,6101,6106,6110,6111,6112,6119,6121,6122,6130,6134,6139,6140,6143,6159,6160,6173,6188,6189,6190,6200,6214,6223,6224,6225,6227,6229,6241,6257,6265,6282,6283,6284,6285,6286,6289,6346,6348,6352,6357,6359,6364,6366,6369,6371,6373,6376,6388,6392,6395,6400,6415,6429,6465,6511,6542,6553,6555,6563,6570,6571,6575,6594,6628,6632,6643,6662,6716,6722,6726,6731,6741,6742,6743,6747,6816,6833,6842,6900,6911,6927,6936,6987,7019,7031,7041,7055,7255,7265,7266,7282,7517,7522,7548,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7852,7859,7872,7875,7880,9448,9454,9455,9771,9772,9792,9800,9823,9872"
18-04-2024,17-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10956571203,95907.46,95907.46,.00,0.00,"Stores: 2556,6386,6393"
18-04-2024,17-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10956683737,10763.10,10763.10,.00,0.00,
18-04-2024,17-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM10953492810,999.00,999.00,.00,0.00,
17-04-2024,16-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10845256215,1724.04,1724.04,.00,0.00,
17-04-2024,16-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10848328294,145551.46,145541.63,.00,-9.83,"Stores: 2556,6386,6393"
17-04-2024,16-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41081833274,1320667.46,1320667.45,.00,-0.01,"Stores: 1340,1404,2562,2577,2591,2598,2614,2651,2673,2724,2725,2772,2808,2827,2899,3616,3618,3632,3644,3660,3662,3664,3673,3674,3678,3689,3690,3697,3698,3699,3809,3812,3816,3817,3821,3830,3834,3835,3838,3843,3845,3849,3852,3858,3866,3876,3885,3888,3889,3891,3900,3902,3904,3905,3909,3910,3918,3922,3924,3927,3931,3935,3938,3950,3961,3962,3963,3964,3980,3982,3983,3987,3992,3994,5476,5535,5585,5619,5682,5683,5786,5843,5894,6011,6021,6036,6037,6043,6044,6053,6054,6056,6064,6071,6074,6076,6078,6091,6092,6094,6096,6101,6110,6112,6121,6122,6140,6143,6157,6159,6160,6170,6173,6177,6188,6200,6214,6223,6227,6229,6243,6257,6282,6283,6284,6285,6286,6289,6334,6346,6352,6357,6359,6364,6366,6369,6371,6376,6384,6387,6388,6389,6392,6395,6400,6415,6421,6465,6467,6511,6542,6555,6556,6563,6570,6575,6594,6628,6632,6643,6656,6662,6675,6689,6716,6722,6726,6731,6741,6747,6816,6833,6842,6927,6936,6987,7004,7019,7054,7055,7265,7266,7282,7517,7522,7563,7574,7607,7614,7711,7714,7715,7760,7763,7771,7802,7829,7859,7870,7872,7875,7880,9448,9454,9771,9792,9800,9823,9872"
17-04-2024,16-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41081835344,27629.70,27629.70,.00,0.00,"Stores: 9421,9702,9704,9712"
17-04-2024,16-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10844910728,1597.00,1597.00,.00,0.00,
17-04-2024,16-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41080857417,18398.67,18398.67,.00,0.00,"Stores: 1176,1266,1817,2158,2194,2459,2490,9585"
17-04-2024,16-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41080238746,790932.11,790932.09,.00,-0.02,"Stores: 1227,1228,2977,2995,3738,4521,4538,4573,4576,4800,4812,4823,4831,4842,4850,4865,4870,4871,4872,4876,4884,4887,4893,5528,5529,5530,5536,5537,5660,5739,5870,5890,6512,6664,6701,6703,6721,6734,6735,6736,6758,6759,6762,6823,6829,6832,6868,6914,6921,6975,6998,7006,7022,7082,7085,7285,7524,7566,7582,7617,7618,7622,7643,7668,7685,7822,7851,7855,7858,7917,7936,9426,9460,9461,9648,9649,9654,9735,9754,9805,9862,9882,9883,9897,9951"
16-04-2024,15-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41070238495,638378.32,638378.38,.00,0.06,"Stores: 1227,2977,2995,3731,4533,4535,4538,4539,4573,4576,4585,4800,4812,4831,4842,4865,4870,4871,4872,4876,4884,4887,4889,4890,4893,4988,5528,5529,5536,5537,5538,5539,5638,5712,5739,5779,5797,5870,5890,6443,6512,6596,6629,6634,6664,6701,6703,6721,6734,6735,6736,6758,6759,6823,6829,6910,6914,6975,6998,7006,7066,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7858,7917,7936,9426,9461,9648,9649,9735,9754,9805,9882,9883,9897,9951"
16-04-2024,15-04-2024,9701,59701,"WALLET PHONEPAY",Matched,YESPH41071831477,20992.25,20992.25,.00,0.00,
16-04-2024,15-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41070849303,165029.00,165029.00,.00,0.00,"Stores: 1039,1043,1105,1266,1817,2158,2446,2490,3430,3436,9403,9585"
16-04-2024,15-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10736305451,999.00,999.00,.00,0.00,
16-04-2024,15-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41071831388,1294409.14,1294409.14,.00,0.00,"Stores: 1404,1515,2562,2577,2591,2598,2614,2633,2662,2805,2808,2827,2898,3618,3660,3662,3664,3671,3673,3674,3678,3689,3690,3696,3697,3698,3809,3812,3817,3821,3830,3843,3845,3849,3852,3858,3866,3876,3884,3885,3888,3889,3891,3895,3900,3901,3902,3904,3905,3909,3910,3917,3919,3924,3927,3935,3938,3963,3967,3978,3980,3982,3983,3985,3986,3990,3992,3994,5476,5535,5566,5579,5611,5619,5682,5683,5786,5843,5894,6011,6021,6036,6037,6043,6044,6046,6053,6054,6071,6074,6076,6078,6091,6092,6094,6101,6106,6110,6111,6112,6119,6121,6122,6159,6160,6170,6173,6188,6200,6208,6214,6223,6225,6227,6229,6243,6258,6265,6269,6274,6282,6284,6285,6286,6289,6344,6346,6348,6357,6364,6369,6371,6373,6376,6381,6384,6386,6387,6388,6392,6395,6400,6429,6467,6511,6542,6555,6556,6563,6567,6570,6571,6575,6594,6624,6643,6662,6675,6716,6722,6726,6731,6741,6743,6747,6763,6816,6833,6842,6900,6911,6936,6987,6991,7004,7019,7051,7054,7055,7255,7265,7282,7517,7522,7563,7607,7614,7711,7715,7760,7763,7771,7829,7834,7852,7859,7870,7872,7875,7880,9454,9455,9456,9771,9792,9800,9823,9872"
16-04-2024,15-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10739464814,106310.71,106282.45,.00,-28.26,"Stores: 2556,6386,6393"
16-04-2024,15-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10735757475,4298.00,4298.00,.00,0.00,
15-04-2024,14-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10627791621,3897.04,3897.04,.00,0.00,
15-04-2024,14-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10628276934,89753.20,89753.20,.00,0.00,"Stores: 2556,6386,6393"
15-04-2024,14-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41061753202,4188112.85,4188112.92,.00,0.07,"Stores: 1340,1404,1493,1510,1515,2562,2574,2577,2591,2598,2614,2651,2662,2724,2733,2772,2805,2808,2886,2891,2898,3611,3616,3618,3626,3632,3644,3655,3662,3663,3664,3669,3673,3674,3675,3678,3689,3690,3696,3697,3698,3699,3801,3809,3810,3811,3812,3817,3821,3830,3831,3834,3835,3838,3842,3843,3845,3849,3851,3852,3854,3858,3866,3876,3879,3885,3887,3888,3889,3891,3895,3900,3901,3902,3903,3904,3905,3909,3910,3912,3918,3919,3922,3924,3927,3931,3935,3938,3950,3961,3962,3963,3964,3967,3980,3982,3983,3985,3986,3990,3992,3994,5464,5476,5535,5566,5579,5584,5585,5610,5611,5619,5682,5683,5710,5723,5759,5760,5786,5834,5843,5894,5919,6011,6019,6021,6036,6037,6044,6053,6054,6056,6064,6071,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6121,6130,6134,6138,6143,6159,6160,6163,6164,6170,6173,6178,6187,6188,6189,6190,6200,6208,6214,6222,6223,6225,6227,6229,6241,6243,6257,6258,6265,6269,6274,6282,6283,6284,6285,6286,6287,6289,6344,6346,6348,6350,6357,6359,6362,6364,6366,6369,6371,6373,6376,6384,6387,6388,6389,6392,6395,6400,6415,6421,6423,6429,6465,6509,6511,6536,6542,6543,6553,6555,6556,6563,6570,6571,6573,6575,6594,6624,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6763,6795,6816,6833,6842,6900,6911,6927,6956,6977,6987,6991,7004,7019,7031,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7834,7852,7859,7872,7875,7961,9454,9455,9771,9772,9800,9801,9823,9872"
15-04-2024,14-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH41061753314,233978.06,233978.06,.00,0.00,"Stores: 9421,9701,9702,9704,9706,9712"
15-04-2024,14-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10630119837,6488.00,6488.00,.00,0.00,
15-04-2024,14-04-2024,7965,77965,"WALLET PHONEPAY",Matched,AXNPN10631247609,8197.40,8197.40,.00,0.00,
15-04-2024,14-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41060820331,176222.03,176222.02,.00,-0.01,"Stores: 1001,1039,1043,1266,1817,2194,2446,2490,3430,3436,9403,9585"
15-04-2024,14-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41060234690,893966.16,893966.13,.00,-0.03,"Stores: 1227,1228,1241,1256,2977,4521,4533,4535,4538,4539,4573,4576,4585,4812,4823,4831,4842,4850,4856,4865,4869,4870,4871,4872,4876,4884,4887,4889,4890,4892,4893,5528,5529,5530,5531,5536,5638,5660,5739,5779,5780,5797,5890,6512,6596,6629,6634,6703,6719,6721,6734,6736,6758,6759,6762,6823,6829,6856,6868,6910,6914,6921,6962,6975,6998,7006,7082,7085,7091,7524,7582,7617,7618,7622,7643,7668,7685,7772,7822,7853,7855,7858,7917,7977,9426,9461,9648,9654,9735,9754,9805,9882,9883,9897,9951"
14-04-2024,13-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41050241279,1103627.03,1103627.02,.00,-0.01,"Stores: 1149,1228,1241,2977,3731,4521,4533,4538,4539,4573,4576,4585,4800,4811,4812,4823,4831,4856,4862,4865,4868,4870,4871,4872,4876,4879,4884,4887,4889,4890,4892,4893,4988,5486,5528,5529,5531,5536,5638,5660,5739,5797,5870,5890,6596,6633,6634,6664,6701,6703,6708,6721,6736,6758,6759,6762,6790,6823,6829,6856,6868,6910,6914,6921,6945,6949,6975,6998,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7855,7858,7917,7936,9426,9461,9648,9649,9654,9658,9689,9735,9745,9805,9882,9883,9897,9951"
14-04-2024,13-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41050863155,288810.84,288810.84,.00,0.00,"Stores: 1001,1039,1176,1266,1817,2194,2446,2490,3427,3436,9585"
14-04-2024,13-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10522234495,67686.55,67686.55,.00,0.00,"Stores: 2556,6386,6393"
14-04-2024,13-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10519372054,3996.00,3996.00,.00,0.00,
14-04-2024,13-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10522261709,6605.07,6605.07,.00,0.00,
13-04-2024,12-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10410028711,2398.11,2398.11,.00,0.00,
13-04-2024,12-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10411034723,2797.00,2797.00,.00,0.00,
13-04-2024,12-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10413718007,68884.05,68884.05,.00,0.00,"Stores: 2556,6386,6393"
13-04-2024,12-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41040858793,151673.19,151673.19,.00,0.00,"Stores: 1001,1022,1043,1176,1817,2446,3427,3430,3436,9403,9404,9585"
13-04-2024,12-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41040239049,755257.23,755257.24,.00,0.01,"Stores: 1227,1228,1241,2977,4521,4533,4535,4539,4573,4576,4585,4812,4831,4842,4862,4865,4870,4871,4872,4876,4879,4884,4887,4889,4890,4893,4896,4988,4998,5528,5529,5531,5536,5538,5539,5739,5780,5890,6443,6512,6596,6629,6633,6634,6664,6691,6701,6703,6721,6734,6758,6759,6762,6790,6798,6823,6829,6832,6856,6868,6914,6921,6945,6949,6975,7006,7082,7085,7524,7582,7617,7668,7685,7728,7822,7853,7855,7858,7917,7923,9426,9461,9648,9649,9654,9689,9735,9754,9805,9882,9883,9897,9951"
12-04-2024,11-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41030231489,1001340.94,1001340.97,.00,0.03,"Stores: 1227,1228,1241,1953,2977,2995,4521,4533,4535,4538,4539,4573,4576,4585,4587,4800,4812,4823,4831,4842,4855,4856,4862,4864,4865,4868,4871,4872,4876,4884,4889,4890,4892,4893,4951,4988,5528,5529,5536,5538,5539,5739,5780,5797,5870,5890,6512,6596,6629,6634,6664,6701,6721,6736,6758,6759,6762,6823,6829,6832,6856,6910,6914,6925,6962,6975,7060,7066,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7772,7822,7853,7858,7917,9460,9648,9649,9654,9735,9745,9805,9882,9883,9897,9951"
12-04-2024,11-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41030824377,142841.64,142841.65,.00,0.01,"Stores: 1001,1022,1043,1266,1817,2446,3427,3430,3436,9403,9585"
12-04-2024,11-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41031754839,3410270.80,3410270.78,.00,-0.02,"Stores: 1340,1404,1510,1515,2372,2562,2574,2577,2591,2614,2662,2772,2805,2808,2883,2891,3616,3618,3644,3654,3660,3662,3669,3673,3678,3686,3690,3691,3696,3697,3698,3801,3809,3810,3812,3821,3831,3834,3835,3838,3845,3849,3852,3854,3866,3876,3885,3888,3889,3891,3895,3900,3901,3902,3904,3905,3909,3910,3912,3917,3918,3919,3922,3924,3927,3931,3935,3938,3950,3958,3961,3962,3963,3964,3967,3980,3982,3983,3985,3986,3990,3992,3994,5476,5535,5579,5584,5585,5610,5611,5619,5682,5683,5760,5786,5843,5894,5919,6011,6021,6036,6037,6044,6046,6053,6056,6064,6071,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6119,6121,6122,6129,6130,6134,6138,6140,6143,6144,6159,6160,6170,6173,6177,6187,6188,6189,6190,6200,6208,6214,6222,6223,6225,6227,6229,6243,6257,6258,6265,6282,6283,6284,6285,6286,6287,6289,6313,6334,6344,6346,6348,6350,6352,6357,6359,6364,6366,6369,6371,6373,6376,6384,6387,6388,6392,6395,6400,6415,6421,6423,6429,6465,6467,6511,6536,6542,6555,6556,6563,6570,6571,6575,6594,6624,6627,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6763,6795,6816,6833,6842,6900,6911,6936,6977,6987,6991,7004,7019,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7834,7852,7859,7872,7875,7880,7961,9454,9771,9772,9792,9800,9823,9872"
12-04-2024,11-04-2024,9717,59717,"WALLET PHONEPAY",Matched,YESPH41031757055,208912.80,208912.80,.00,0.00,"Stores: 9421,9701,9702,9704,9708,9712,9717"
12-04-2024,11-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10304828517,82994.10,82994.10,.00,0.00,"Stores: 2556,6386,6393"
12-04-2024,11-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10305544346,7493.00,7493.00,.00,0.00,
12-04-2024,11-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10304664411,6295.13,6295.13,.00,0.00,
12-04-2024,11-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM10302189085,359.00,359.00,.00,0.00,
11-04-2024,10-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM10293099355,2390.30,2390.30,.00,0.00,
11-04-2024,10-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10293053745,2946.00,2946.00,.00,0.00,
11-04-2024,10-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10293937134,14749.44,14742.31,.00,-7.13,
11-04-2024,10-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10296533756,78472.40,78472.40,.00,0.00,"Stores: 2556,6386,6393"
11-04-2024,10-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41020861564,160718.94,160718.94,.00,0.00,"Stores: 1001,1039,1043,1176,1266,1817,2446,2490,3420,3427,9467,9585"
10-04-2024,09-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41010857590,325708.46,325708.45,.00,-0.01,"Stores: 1001,1022,1039,1043,1113,1176,1266,1270,1817,2194,2446,2490,3420,3427,3430,3436,9585"
